timestamp,angle,rpm,pwm
1752367742.0939758,192.13,0.0,27.54545
1752367742.105131,192.13,0.0,23.082636413718998
1752367742.1158233,193.18,16.366829442326306,18.980411789312754
1752367742.1267018,195.56,36.46314952806749,15.512388394904269
1752367742.1375616,199.6,62.00278147343142,12.514014689810141
1752367742.1481292,205.14,87.3734476431127,10.051523480817266
1752367742.1589396,210.85,88.03271374590163,8.703606146819803
1752367742.169916,217.0,93.38289239324044,7.471191795634171
1752367742.180647,219.81,43.64310189813892,7.977412514358438
1752367742.1911528,219.64,-2.6968935284998174,8.325074786982928
1752367742.2017293,219.64,0.0,7.284058715580309
1752367742.2123313,219.64,0.0,6.505134416900358
1752367742.2229595,219.64,0.0,5.867832716564172
1752367742.233985,219.64,0.0,5.346404051494018
1752367742.244833,219.64,0.0,4.919780597306747
1752367742.2556736,219.64,0.0,4.570725043105121
1752367742.2661476,219.64,0.0,4.285134134487325
1752367742.2771058,219.64,0.0,4.051468845098963
1752367742.2876205,219.64,0.0,3.8602881533563664
1752367742.2984607,219.64,0.0,3.7038675870375495
1752367742.3098173,219.64,0.0,3.5758871234013894
1752367742.3204823,219.64,0.0,3.471175834739112
1752367742.3312507,219.64,0.0,3.3855029620068646
1752367742.3417604,219.64,0.0,3.3154069750701662
1752367742.352402,219.64,0.0,3.258055712903602
1752367742.362973,219.64,0.0,3.211131952844865
1752367742.3736587,219.64,0.0,3.1727397854387647
1752367742.3842914,219.64,0.0,3.1413280120366966
1752367742.3948307,219.64,0.0,3.115627470105165
1752367742.405662,219.64,0.0,3.094599753932638
1752367742.4163182,219.46,-2.8152840362448828,3.1549435245003368
1752367742.4269907,219.29,-2.654780925148433,3.123881901128917
1752367742.4377189,219.11,-2.7963890926053967,3.106702090282616
1752367742.4485743,218.94,-2.610059373467406,3.0836899248937644
1752367742.459391,218.85,-1.3867301461355166,3.036195537885494
1752367742.4701493,218.76,-1.394290273253601,3.0305746301247662
1752367742.480808,218.76,0.0,2.987365229143462
1752367742.491707,218.76,0.0,2.9896579201853135
1752367742.5021925,218.76,0.0,2.9915337583146333
1752367742.5130446,218.76,0.0,2.9930685349693054
1752367742.5237203,218.76,0.0,2.9943242613259184
1752367742.5344284,218.76,0.0,2.9953516738017942
1752367742.5451965,218.76,0.0,2.996192284011197
1752367742.555931,218.76,0.0,2.9968800560022366
1752367742.5666869,218.76,0.0,2.9974427785416107
1752367742.5772288,218.76,0.0,2.997903187893031
1752367742.587894,218.76,0.0,2.998279886454121
1752367742.5984907,218.76,0.0,2.998588094368425
1752367742.6092293,218.76,0.0,2.9988402644806884
1752367742.6202111,218.76,0.0,2.99904658548209
1752367742.631026,218.76,0.0,2.9992153935745205
1752367742.641776,218.76,0.0,2.999353509286816
1752367742.652563,218.76,0.0,2.9994665130516727
1752367742.6630468,218.76,0.0,2.99955897067767
1752367742.6738613,218.76,0.0,2.9996346178263815
1752367742.6848662,218.76,0.0,2.999696510948192
1752367742.6954188,218.76,0.0,2.9997471507752405
1752367742.7059605,218.76,0.0,2.9997885833610995
1752367742.7165165,218.76,0.0,2.9998224827496047
1752367742.7271955,218.76,0.0,2.999850218612989
1752367742.7382038,218.76,0.0,2.999872911592172
1752367742.7491345,218.76,0.0,2.999891478575181
1752367742.7599788,218.76,0.0,2.9999066697431314
1752367742.7705338,218.76,0.0,2.999919098880573
1752367742.781063,218.76,0.0,2.9999292681748657
1752367742.791589,218.76,0.0,2.9999375885065787
1752367742.8021398,218.76,0.0,2.999944396050722
1752367742.8129232,218.76,0.0,2.9999499658595794
1752367742.823442,218.76,0.0,2.9999545229759272
1752367742.8339996,218.76,0.0,2.999958251525675
1752367742.844554,218.76,0.0,2.9999613021572933
1752367742.8550932,218.76,0.0,2.999963798128623
1752367742.8655841,218.76,0.0,2.999965840286988
1752367742.8763874,218.76,0.0,2.999967511143836
1752367742.8872702,218.76,0.0,2.9999688782085325
1752367742.897884,218.76,0.0,2.9999699967160143
1752367742.9086142,218.76,0.0,2.9999709118585014
1752367742.9189494,218.76,0.0,2.999971660611447
1752367742.9301724,218.76,0.0,2.9999722732274945
1752367742.9410043,218.67,-1.3848071843639338,3.038117911515346
1752367742.951889,218.58,-1.3780733342091056,3.0317526983641887
1752367742.962721,218.58,0.0,2.9887669605138734
1752367742.9735951,218.58,0.0,2.990804791309108
1752367742.984211,218.5,-1.2559864648376666,3.027068819785866
1752367742.9951081,218.5,0.0,2.9882310416870346
1752367743.0056489,218.58,1.2649352725191032,2.9555231009655802
1752367743.0161912,218.5,-1.264735024952778,3.0325962175511645
1752367743.0266132,218.5,0.0,2.9925172469274006
1752367743.0369477,218.5,0.0,2.993873207472449
1752367743.0474524,218.5,0.0,2.9949826297390443
1752367743.0582056,218.5,0.0,2.9958903388682763
1752367743.0686772,218.5,0.0,2.9966330099756617
1752367743.079624,218.5,0.0,2.9972406499739637
1752367743.0906258,218.5,0.0,2.997737809973679
1752367743.1011863,218.5,0.0,2.9981445772470776
1752367743.1120913,218.5,0.0,2.9984773868351433
1752367743.1227138,218.5,0.0,2.9987496855896203
1752367743.133792,218.5,0.0,2.998972475480142
1752367743.1447961,218.58,1.211657530784142,2.96577910618691
1752367743.1556692,218.5,-1.2262702189093726,3.038489465150606
1752367743.1661625,218.58,1.2706546699387002,2.963376790059133
1752367743.176822,218.5,-1.25084554191241,3.038793794857157
1752367743.18755,218.58,1.2428395967140493,2.9637284320799897
1752367743.1983664,218.5,-1.232703360005333,3.037830760424088
1752367743.209324,218.5,0.0,2.997664909695621
