timestamp,angle,pwm
1751695701.406448,303.49,40
1751695701.4093406,290.65,40
1751695701.4121828,276.86,40
1751695701.4149454,262.97,40
1751695701.4177697,249.79,40
1751695701.420729,235.63,40
1751695701.4234574,222.45,40
1751695701.4262486,208.74,40
1751695701.4289434,195.38,40
1751695701.432106,182.46,40
1751695701.4345462,169.45,40
1751695701.4373655,157.15,40
1751695701.440195,144.58,40
1751695701.4430673,132.19,40
1751695701.4457474,119.0,40
1751695701.4487114,106.17,40
1751695701.4511695,92.64,40
1751695701.4538422,80.6,40
1751695701.4566386,68.38,40
1751695701.4590573,56.69,40
1751695701.461511,45.35,40
1751695701.4642787,34.28,40
1751695701.4665782,22.94,40
1751695701.4692278,11.07,40
1751695701.4718888,0.09,40
1751695701.4748065,347.26,40
1751695701.4775238,334.51,40
1751695701.4804451,322.21,40
1751695701.4832437,309.38,40
1751695701.4860632,296.02,40
1751695701.488959,282.92,40
1751695701.4917426,269.03,40
1751695701.4945338,255.76,40
1751695701.4973283,241.88,40
1751695701.5000737,228.34,40
1751695701.502809,214.72,40
1751695701.5056515,201.45,40
1751695701.5086071,187.91,40
1751695701.5113878,175.08,40
1751695701.5141776,162.16,40
1751695701.5168612,149.68,40
1751695701.5198514,137.46,40
1751695701.5226095,124.28,40
1751695701.5254097,111.09,40
1751695701.5280771,98.17,40
1751695701.53064,85.52,40
1751695701.5333238,73.65,40
1751695701.5358744,62.05,40
1751695701.5382988,50.45,40
1751695701.5409122,38.94,40
1751695701.5434666,27.69,40
1751695701.546142,16.17,40
1751695701.5488198,4.83,40
1751695701.5513976,353.32,40
1751695701.5542998,340.93,40
1751695701.557006,328.27,40
1751695701.5597908,315.62,40
1751695701.5627003,302.78,40
1751695701.5655506,289.34,40
1751695701.5683036,275.54,40
1751695701.5712514,262.18,40
1751695701.5739944,248.47,40
1751695701.5767117,234.84,40
1751695701.5795891,221.13,40
1751695701.5823548,207.86,40
1751695701.5852308,194.15,40
1751695701.5880437,181.23,40
1751695701.59079,168.22,40
1751695701.5934706,155.92,40
1751695701.5964289,143.44,40
1751695701.5992565,130.87,40
1751695701.6020584,117.69,40
1751695701.6050591,104.94,40
1751695701.607679,91.32,40
1751695701.6100662,78.84,40
1751695701.6126719,67.15,40
1751695701.6154258,55.55,40
1751695701.6179087,44.21,40
1751695701.6206625,32.7,40
1751695701.6230369,21.27,40
1751695701.6255586,9.93,40
1751695701.6284614,358.51,40
1751695701.6312833,346.11,40
1751695701.6341925,333.46,40
1751695701.6368215,321.06,40
1751695701.6395876,308.23,40
1751695701.6422892,294.96,40
1751695701.6452806,281.34,40
1751695701.6480842,267.89,40
1751695701.6509576,254.27,40
1751695701.6537282,240.29,40
1751695701.656576,226.41,40
1751695701.659468,213.22,40
1751695701.6621194,199.51,40
1751695701.6654224,186.42,40
1751695701.6678236,173.32,40
1751695701.6708255,160.84,40
1751695701.6735287,148.36,40
1751695701.6763062,136.05,40
1751695701.679052,122.87,40
1751695701.6824887,110.21,40
1751695701.6846614,96.77,40
1751695701.6871114,84.64,40
1751695701.6896622,72.77,40
1751695701.6921344,61.17,40
1751695701.6946676,49.66,40
1751695701.6974154,38.58,40
1751695701.6998966,26.89,40
1751695701.702488,15.47,40
1751695701.7051625,4.04,40
1751695701.7076964,352.53,40
1751695701.7106333,339.79,40
1751695701.7134926,327.48,40
1751695701.7165298,314.47,40
1751695701.7192953,301.55,40
1751695701.7219055,288.63,40
1751695701.7246428,274.83,40
1751695701.7274914,261.47,40
1751695701.7303715,247.76,40
1751695701.7333694,234.14,40
1751695701.7360501,220.43,40
1751695701.738827,206.72,40
1751695701.7415562,193.45,40
1751695701.7443821,180.09,40
1751695701.7471623,167.52,40
1751695701.7500284,154.86,40
